kaina:,kuro tipas,variklis,pavaru deze,rida,tipas,vietove
4800;Benzinas;2.5l.,81kW;Automatinė;290000;Vienatūris;Marijampolė
4900;Dyzelinas;3.0l.,210kW;Automatinė;366000;Universalas;Vilnius
5500;Benzinas;2.0l.,110kW;Mechaninė;180000;Kabrioletas;Utena
5555;Benzinas / elektra;1.3l.,65kW;Automatinė;217000;Hečbekas;Vilnius
5700;Dyzelinas;2.2l.,110kW;Automatinė;194008;Universalas;Vilnius
5890;Dyzelinas;2.0l.,130kW;Mechaninė;262700;Hečbekas;Kaunas
5999;Dyzelinas;2.0l.,130kW;Automatinė;274564;Universalas;Vilnius
6600;Dyzelinas;2.1l.,100kW;Automatinė;280000;Sedanas;Vilnius
6770;Dyzelinas;2.4l.,136kW;Automatinė;280000;Visureigis / Krosoveris;Vilnius
6950;Dyzelinas;2.0l.,130kW;Automatinė;250421;Universalas;Vilnius
6999;Dyzelinas;3.0l.,176kW;Automatinė;288559;Universalas;Vilnius
7250;Dyzelinas;2.2l.,95kW;Mechaninė;211363;Krovininis mikroautobusas;Kaunas
7550;Benzinas;1.2l.,85kW;Automatinė;140000;Visureigis / Krosoveris;Kaunas
7900;Dyzelinas;3.0l.,150kW;Automatinė;351000;Universalas;Radviliškis
8999;Dyzelinas;2.0l.,135kW;Automatinė;276572;Universalas;Vilnius
8999;Dyzelinas;2.0l.,130kW;Mechaninė;277328;Sedanas;Radviliškis
9200;Dyzelinas;3.0l.,150kW;Automatinė;271000;Universalas;Kelmė
9299;Benzinas / elektra / dujos;1.8l.,100kW;Automatinė;262000;Universalas;Vilnius
9300;Benzinas;3.6l.,206kW;Automatinė;254000;Visureigis / Krosoveris;Kaunas
9999;Dyzelinas;3.0l.,150kW;Automatinė;249000;Universalas;Klaipėda
10200;Dyzelinas;1.6l.,88kW;Automatinė;185000;Universalas;Kaunas
10500;Dyzelinas;2.0l.,130kW;Mechaninė;345600;Universalas;Klaipėda
10500;Dyzelinas;2.0l.,120kW;Automatinė;278490;Universalas;Vilnius
10500;Dyzelinas;2.0l.,160kW;Automatinė;252000;Universalas;Kuršėnai
10700;Benzinas / elektra;1.6l.,77kW;Automatinė;80063;Hečbekas;Alytus
10900;Dyzelinas;2.0l.,140kW;Automatinė;215000;Universalas;Vilnius
11300;Dyzelinas;2.0l.,140kW;Automatinė;281000;Universalas;Kuršėnai
11500;Dyzelinas;3.0l.,176kW;Automatinė;275182;Visureigis / Krosoveris;Vilnius
11900;Benzinas;1.2l.,85kW;Automatinė;159000;Visureigis / Krosoveris;Vilnius
12500;Dyzelinas;2.0l.,140kW;Automatinė;181000;Universalas;Klaipėda
14000;Benzinas;2.5l.,153kW;Automatinė;128000;Sedanas;Vilnius
14350;Benzinas;2.0l.,135kW;Automatinė;95800;Sedanas;Klaipėda
14500;Dyzelinas;3.0l.,180kW;Automatinė;357218;Visureigis / Krosoveris;Klaipėda
14800;Dyzelinas;2.0l.,110kW;Automatinė;136682;Universalas;Vilnius
14800;Elektra, 62 kWh;150kW;Automatinė;16926;Hečbekas;Alytus
