buto _kaina;kvadrato_kaina;adresas;plotas;kambariu_skaicius
47500;2317;Kaunas, Vilijampolė, Raudondvario pl.;20.5;2
390000;6725;Vilnius, Senamiestis, Teatro g.;57.99;2
168500;2462;Vilnius, Antakalnis, Duburio g.;68.44;3
435000;5959;Palanga, S. Daukanto g.;73;4
buto _kaina;kvadrato_kaina;adresas;plotas;kambariu_skaicius
268000;7657;Palanga, A. Mickevičiaus g.;35;2
329900;7331;Palanga, A. Mickevičiaus g.;45;3
171200;4248;Vilnius, Žirmūnai, Tuskulėnų g.;40.3;2
199000;4095;Palanga, Palanga, Vanagupės g.;48.59;2
240529;3733;Vilnius, Žirmūnai, Kareivių g.;64.44;3
200860;3453;Vilnius, Burbiškės, Burbiškių g.;58.17;3
139900;2439;Vilnius, Antakalnis, Duburio g.;57.37;2
47500;2317;Kaunas, Vilijampolė, Raudondvario pl.;20.5;2
390000;6725;Vilnius, Senamiestis, Teatro g.;57.99;2
168500;2462;Vilnius, Antakalnis, Duburio g.;68.44;3
435000;5959;Palanga, S. Daukanto g.;73;4
312000;6933;Palanga, S. Daukanto g.;45;3
buto _kaina;kvadrato_kaina;adresas;plotas;kambariu_skaicius
268000;7657;Palanga, A. Mickevičiaus g.;35;2
329900;7331;Palanga, A. Mickevičiaus g.;45;3
171200;4248;Vilnius, Žirmūnai, Tuskulėnų g.;40.3;2
199000;4095;Palanga, Palanga, Vanagupės g.;48.59;2
240529;3733;Vilnius, Žirmūnai, Kareivių g.;64.44;3
200860;3453;Vilnius, Burbiškės, Burbiškių g.;58.17;3
139900;2439;Vilnius, Antakalnis, Duburio g.;57.37;2
47500;2317;Kaunas, Vilijampolė, Raudondvario pl.;20.5;2
390000;6725;Vilnius, Senamiestis, Teatro g.;57.99;2
168500;2462;Vilnius, Antakalnis, Duburio g.;68.44;3
435000;5959;Palanga, S. Daukanto g.;73;4
312000;6933;Palanga, S. Daukanto g.;45;3
121900;2651;Klaipėda, Mažasis kaimelis, Senvagės g.;45.99;2
buto _kaina;kvadrato_kaina;adresas;plotas;kambariu_skaicius
268000;7657;Palanga, A. Mickevičiaus g.;35;2
329900;7331;Palanga, A. Mickevičiaus g.;45;3
171200;4248;Vilnius, Žirmūnai, Tuskulėnų g.;40.3;2
199000;4095;Palanga, Palanga, Vanagupės g.;48.59;2
240529;3733;Vilnius, Žirmūnai, Kareivių g.;64.44;3
200860;3453;Vilnius, Burbiškės, Burbiškių g.;58.17;3
139900;2439;Vilnius, Antakalnis, Duburio g.;57.37;2
47500;2317;Kaunas, Vilijampolė, Raudondvario pl.;20.5;2
390000;6725;Vilnius, Senamiestis, Teatro g.;57.99;2
168500;2462;Vilnius, Antakalnis, Duburio g.;68.44;3
435000;5959;Palanga, S. Daukanto g.;73;4
312000;6933;Palanga, S. Daukanto g.;45;3
121900;2651;Klaipėda, Mažasis kaimelis, Senvagės g.;45.99;2
199000;2647;Kaunas, Žaliakalnis, Žeimenos g.;75.19;3
buto _kaina;kvadrato_kaina;adresas;plotas;kambariu_skaicius
268000;7657;Palanga, A. Mickevičiaus g.;35;2
329900;7331;Palanga, A. Mickevičiaus g.;45;3
171200;4248;Vilnius, Žirmūnai, Tuskulėnų g.;40.3;2
199000;4095;Palanga, Palanga, Vanagupės g.;48.59;2
240529;3733;Vilnius, Žirmūnai, Kareivių g.;64.44;3
200860;3453;Vilnius, Burbiškės, Burbiškių g.;58.17;3
139900;2439;Vilnius, Antakalnis, Duburio g.;57.37;2
47500;2317;Kaunas, Vilijampolė, Raudondvario pl.;20.5;2
390000;6725;Vilnius, Senamiestis, Teatro g.;57.99;2
168500;2462;Vilnius, Antakalnis, Duburio g.;68.44;3
435000;5959;Palanga, S. Daukanto g.;73;4
312000;6933;Palanga, S. Daukanto g.;45;3
121900;2651;Klaipėda, Mažasis kaimelis, Senvagės g.;45.99;2
199000;2647;Kaunas, Žaliakalnis, Žeimenos g.;75.19;3
127750;3901;Vilnius, Šnipiškės, Kalvarijų g.;32.75;1
buto _kaina;kvadrato_kaina;adresas;plotas;kambariu_skaicius
268000;7657;Palanga, A. Mickevičiaus g.;35;2
329900;7331;Palanga, A. Mickevičiaus g.;45;3
171200;4248;Vilnius, Žirmūnai, Tuskulėnų g.;40.3;2
199000;4095;Palanga, Palanga, Vanagupės g.;48.59;2
240529;3733;Vilnius, Žirmūnai, Kareivių g.;64.44;3
200860;3453;Vilnius, Burbiškės, Burbiškių g.;58.17;3
139900;2439;Vilnius, Antakalnis, Duburio g.;57.37;2
47500;2317;Kaunas, Vilijampolė, Raudondvario pl.;20.5;2
390000;6725;Vilnius, Senamiestis, Teatro g.;57.99;2
168500;2462;Vilnius, Antakalnis, Duburio g.;68.44;3
435000;5959;Palanga, S. Daukanto g.;73;4
312000;6933;Palanga, S. Daukanto g.;45;3
121900;2651;Klaipėda, Mažasis kaimelis, Senvagės g.;45.99;2
199000;2647;Kaunas, Žaliakalnis, Žeimenos g.;75.19;3
127750;3901;Vilnius, Šnipiškės, Kalvarijų g.;32.75;1
324000;5438;Vilnius, Šnipiškės, Konstitucijos pr.;59.58;2
buto _kaina;kvadrato_kaina;adresas;plotas;kambariu_skaicius
268000;7657;Palanga, A. Mickevičiaus g.;35;2
329900;7331;Palanga, A. Mickevičiaus g.;45;3
171200;4248;Vilnius, Žirmūnai, Tuskulėnų g.;40.3;2
199000;4095;Palanga, Palanga, Vanagupės g.;48.59;2
240529;3733;Vilnius, Žirmūnai, Kareivių g.;64.44;3
200860;3453;Vilnius, Burbiškės, Burbiškių g.;58.17;3
139900;2439;Vilnius, Antakalnis, Duburio g.;57.37;2
47500;2317;Kaunas, Vilijampolė, Raudondvario pl.;20.5;2
390000;6725;Vilnius, Senamiestis, Teatro g.;57.99;2
168500;2462;Vilnius, Antakalnis, Duburio g.;68.44;3
435000;5959;Palanga, S. Daukanto g.;73;4
312000;6933;Palanga, S. Daukanto g.;45;3
121900;2651;Klaipėda, Mažasis kaimelis, Senvagės g.;45.99;2
199000;2647;Kaunas, Žaliakalnis, Žeimenos g.;75.19;3
127750;3901;Vilnius, Šnipiškės, Kalvarijų g.;32.75;1
